User_ID,Cause_of_Death,Last_Post_Time,Comment_Time,Relative_Elapsed_Time,Commenter_Name,Comment,Tree_Hole,Wailing_Wall,Not_Related,Comments_Split
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 00:19:50,0.0,想暴富的张翎鹅,@杭州网警,No,No,Yes,@杭州网警
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 02:23:48,0.0,SoranKirmin,读得出来，他这个微博很久以前就开始写了的，有很多时候是宣泄，最后面突然变得决绝。看完我眼泪都掉下来了，我竟然像极了他。多少次痛苦挣扎，渴望得到别人帮助，又自己挺了下去，将满心的悲痛写成日记，一次又一次，最后麻木了，无惧死亡，日记也累积成了告别信……希望杭州的朋友们关注转发。,No,Yes,No,"读,得,出来,他,这个,微博,很久以前,开始,写很多,时候,宣泄,最后面,突然,变得,决绝,看完,我,眼泪,掉下来,我,竟然,像极,他,多少次,痛苦,挣扎,渴望,得到,别人,帮助,自己,挺,下去,将,满心,悲痛,写成,日记,一次又一次,最后,麻木,无惧,死亡,日记,累积,成,告别,信,…,…,希望,杭州,朋友,们,关注,转发,"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 09:31:05,0.0,伊丽蛋白Y,希望结局是，你被找到了，然后朋友们都给你发信息关心你，找你去吃美食，去游乐场，去西湖边看鸳鸯。狠点心远离了不懂事的父母，不再被他们捆绑，开始简单的工作，不用给自己压力，也遇到了个很爱你的对象。很多年后回看25岁的一天，只是在和生活赌气。我们不活在过去和现在，我们可以选择未来。加油！,No,Yes,No,"希望,结局,你,被,找到,然后,朋友,们,你,发信息,关心,你,找,你,吃,美食,去游乐场,西湖,边,鸳鸯,狠,点心,远离,不懂事,父母,不再,被,他们,捆绑,开始,简单,工作,不用,自己,压力,遇到,很爱,你,对象,很多年,后,回看,25岁,一天,只是,生活,赌气,我们,活,过去,现在,我们,可以,选择,未来,加油"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 04:29:41,0.0,蛇王殿下,就算公交车上空无一人 司机也会把车开到终点 我的意思是不要因为谁离开而停止你自己的生活.,No,Yes,No,"就算,公交车上,空无一人,司机,把,车,开到,终点,我,意思,不要,因为,谁,离开,而,停止,你自己,生活,."
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 09:03:54,0.0,黄沐木_,你看（总是如此）这句话被遮掉了呢，所以也不是总是那么痛苦的 也会有快乐的时候呢,No,Yes,No,"你,总是,如此,这句话,被,遮掉,所以,也不是,总是,那么,痛苦,快乐,时候"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 01:18:13,0.0,满桂陇汉服工作室,你好陌生人，希望这不是我最后一次认识你，希望我们有朝一日能有合作的机会，一起创造更好的未来,No,Yes,No,"你好,陌生人,希望,不是,我,最后一次,认识,你,希望,我们,有朝一日,能有,合作,机会,一起,创造,更好,未来,"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 14:17:29,0.0,已经不再期待老树开花,如果你太累，及时的道别没有罪,No,Yes,No,"如果,你,太累,及时,道别,没有,罪"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 01:49:16,0.0,微澜Mag,刚刚我跟萧山警局和道森所在派出所电话后，即时情况：这期间有多个朋友向杭州报警，警察出警道森的住所，他22号已经退租，他上层朋友也不知他去向，27号轨迹在舟山，现在电话已经关机还没有定位到轨迹，但是警官说全市都在配合找他！人命关天的事情！有消息会第一时间通知我们！但我们还会积极联系的！,No,No,Yes,"刚刚,我,萧山警局,道森,所在,派出所,电话,后,即时,情况,这期间,多个,朋友,向,杭州,报警,警察,出警,道森,住所,他,22号,已经,退租,他,上层,朋友,不知,他,去向,27号,轨迹,舟山,现在,电话,已经,关机,还没有,定位,轨迹,但是,警官,说,全市,配合,找,他,人命关天,事情,消息,第一时间,通知,我们,我们,还会,积极,联系"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 01:25:03,0.0,百里玄策你能别勾我吗,@鹿道森 朋友 我也是摄影 我也被校园霸凌过 被欺负的原因很简单 就是因为我胖！班上的大姐头把我头发抓着按在地上打 周围的人都在看笑话 没有一个人帮我 这种感觉我一辈子也不会忘！但是我没有自行了断 我努力活着 我也一样喜欢上了摄影 你出事情了那些伤害你的人不会受到任何惩罚！好好活下去！,No,Yes,No,"@,鹿道森,朋友,我,也是,摄影,我,被,校园霸凌,过,被欺负,原因,简单,就是,因为,我,胖,班上,大姐头,把,我,头发,抓着,按,地上,打,周围,人,看笑话,没有一个人,帮,我,这种,感觉,我,一辈子,不会,忘,但是,我,没有,自行,了断,我,努力,活着,我,一样,喜欢,上,摄影,你,出,事情,那些,伤害,你,人,不会,受到,任何,惩罚,好好,活下去"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 02:07:12,0.0,YANG不倒,这两个岛！可能性比较大！有附近的朋友吗！需要帮助 感谢感谢 @杭州网警,No,No,Yes,",两个,岛,可能性,比较大,附近,朋友,需要,帮助,感谢,感谢,@杭州网警"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 01:27:24,0.0,QINYX-,只愿玫瑰年年盛开，岁岁年年你常在。,No,Yes,No,"只愿,玫瑰,年年,盛开,岁,岁,年年,你,常在"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 00:46:36,0.0,扑通怡,你爱的外婆一定不希望你这样对自己的，还有很多美好的事物等着你去发现，你用镜头记录了那么多美好的画面，只要你不放弃就会好起来的！,No,Yes,No,"你,爱,外婆,一定,希望,你,这样,对,自己,还有,很多,美好,事物,等着,你,发现,你,用,镜头,记录,那么多,美好,画面,只要,你,不放弃,就会,好起来,"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 02:15:26,0.0,Monstrous___,“我没办法拯救我自己，我没办法拯救别人”我曾经也像你一样这么想，我太太幸运了，遇到了最最坚强的流浪猫帽帽，我也是一名摄影师，你也恰巧想散心，你偷偷跑来我家东北这边采风吧，我有一处没人住的小房子借给你住，最主要的是来我家看看帽帽！他真的很想认识你。不要让小猫咪难过！我肯定不告诉别人,No,Yes,No,"“,我,没办法,拯救,我自己,我,没办法,拯救,别人,”,我,曾经,像,你,一样,这么,想,我,太太,幸运,遇到,最最,坚强,流浪猫,帽,帽,我,也是,一名,摄影师,你,恰巧,想,散心,你,偷偷,跑来,我家,东北,这边,采风,我,一处,没人,住,小房子,借给,你,住,最,主要,我家,看看,帽,帽,他,真的,很想,认识,你,不要让,小,猫咪,难过,我,肯定,告诉,别人"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 04:37:55,0.0,微澜Mag,刚刚我联系到舟山公安局的最新情况：能查到最近的轨迹是昨天28号下午5:30，他出现在朱家尖南沙的情人岛，其他的还没有消息！我们会再持续找人的！！！,No,No,Yes,"刚刚,我,联系,舟山,公安,局,最新情况,查到,最近,轨迹,昨天28号下午5:30,他,出现,朱家尖,南沙,情人,岛,其他,还没有,消息,我们,再,持续,找,人,"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 09:59:05,0.0,摄影师牧森,其实他内心深处从小就有痛楚，后来选择摄影，希望用摄影能治愈自己，但发现事与愿违，再努力拍的作品也不能改变现实的窘迫，就认为人生所有的路都不通了，傻啊，希望昨天晚上的星辰大海能挽留你，希望你拍过的风起云涌能挽留你，希望你梦想过的流光溢彩能挽留你。,No,Yes,No,"其实,他,内心深处,从小,痛楚,后来,选择,摄影,希望,用,摄影,治愈,自己,发现,事与愿违,再,努力,拍,作品,不能,改变现实,窘迫,认为,人生,所有,路,不通,傻,希望,昨天晚上,星辰,大海,挽留,你,希望,你,拍,过,风起云涌,挽留,你,希望,你,梦想,过,流光溢彩,挽留,你"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 01:23:00,0.0,凉生叁月,有朋友知道这是哪吗，他最后发照片的朋友圈,No,No,Yes,",朋友,知道,哪吗,他,最后,发,照片,朋友,圈,"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 08:19:46,0.0,衣单自凉,不要再默默喜欢一个人了，不要吝惜去赞美鼓励喜欢的人了，趁一切都来得及，去评论去点赞去告诉他你喜欢他想要看到他，任何人任何一点点的肯定都足以成为照亮他的光,Yes,No,No,"不要,再,默默,喜欢,一个人,不要,吝惜,赞美,鼓励,喜欢,的人,趁,一切,来得及,评论,点赞,告诉,他,你,喜欢,他,想要,看到,他,任何人,任何,一点点,肯定,足以,成为,照亮,他,光,"
鹿道森,性别认同/抑郁症/自杀,2021-11-28 23:28:00,2021-11-29 04:31:23,0.0,真奇怪小姐,tm微博 皮皮时光机 能不能审核内容 提前预判下 一定要找到啊,No,No,Yes,"tm,微博,皮皮时光机,能不能,审核,内容,提前,预判,下,一定要,找到,"
